# drug_id	name	price	stock_num	warning_line	is_special	reimbursement_ratio	category
DRG20240501100000000	阿莫西林胶囊	18.5	300	20	0	0.7	抗生素
DRG20240501120000000	布洛芬缓释片	26.0	200	15	0	0.6	解热镇痛
DRG20240501140000000	阿司匹林肠溶片	8.5	400	30	0	0.8	抗血小板
DRG20240501160000000	头孢克洛胶囊	32.0	150	10	1	0.7	抗生素
DRG20240501180000000	奥美拉唑肠溶片	45.0	180	12	0	0.65	消化系统
DRG20240501200000000	氨氯地平片	22.0	250	20	0	0.75	心血管
DRG20240501220000000	二甲双胍缓释片	35.0	300	25	0	0.8	内分泌
DRG20240502000000000	氯雷他定片	12.0	350	30	0	0.5	抗过敏
DRG20240502020000000	蒙脱石散	16.0	200	15	0	0.6	消化系统
DRG20240502040000000	对乙酰氨基酚片	7.5	500	40	0	0.55	解热镇痛
DRG20240502060000000	左氧氟沙星片	28.0	180	15	1	0.7	抗生素
DRG20240502080000000	辛伐他汀片	38.0	160	12	0	0.75	心血管
DRG20240502100000000	雷贝拉唑钠肠溶片	55.0	100	10	0	0.65	消化系统
DRG20240502120000000	苯磺酸氨氯地平片	24.0	200	18	0	0.75	心血管
DRG20240502140000000	阿卡波糖片	42.0	150	12	0	0.8	内分泌
DRG20240502160000000	醋酸泼尼松片	6.0	300	25	1	0.5	激素类
DRG20240502180000000	呋塞米片	9.0	250	20	0	0.7	利尿剂
DRG20240502200000000	硝苯地平控释片	48.0	120	10	0	0.75	心血管
DRG20240502220000000	格列美脲片	38.0	130	10	0	0.8	内分泌
DRG20240503000000000	异丙嗪片	4.5	400	30	0	0.4	抗过敏
DRG20240503020000000	黄连素片	12.0	250	20	0	0.6	清热解毒
DRG20240503040000000	板蓝根颗粒	15.0	350	30	0	0.5	清热解毒
DRG20240503060000000	六味地黄丸	28.0	200	15	0	0.4	补益类
DRG20240503080000000	速效救心丸	35.0	180	15	0	0.55	心血管
DRG20240503100000000	云南白药气雾剂	42.0	100	10	0	0.3	骨伤科
DRG20240503120000000	藿香正气软胶囊	18.0	220	18	0	0.5	解表祛暑
DRG20240503140000000	牛黄解毒片	8.0	300	25	0	0.45	清热解毒
DRG20240503160000000	乌鸡白凤丸	48.0	80	8	0	0.35	补益类
DRG20240503180000000	复方丹参滴丸	32.0	200	15	0	0.6	心血管
DRG20240503200000000	银翘解毒丸	14.0	280	22	0	0.5	解表剂
DRG20240503220000000	氯化钠注射液	5.0	600	50	0	0.9	输液类
DRG20240504000000000	葡萄糖注射液(5%)	5.5	500	40	0	0.9	输液类
DRG20240504020000000	葡萄糖注射液(10%)	5.5	500	40	0	0.9	输液类
DRG20240504040000000	乳酸钠林格注射液	8.0	300	25	0	0.85	输液类
DRG20240504060000000	甲硝唑氯化钠注射液	12.0	200	18	1	0.7	抗生素
DRG20240504080000000	注射用青霉素钠	3.5	400	30	1	0.75	抗生素
DRG20240504100000000	注射用头孢曲松钠	15.0	150	12	1	0.7	抗生素
DRG20240504120000000	地塞米松磷酸钠注射液	2.0	350	30	1	0.6	激素类
DRG20240504140000000	维生素C注射液	1.5	400	30	0	0.5	维生素类
DRG20240504160000000	胰岛素注射液	48.0	100	8	1	0.8	内分泌
DRG20240504180000000	多潘立酮片	14.0	220	18	0	0.55	消化系统
DRG20240504200000000	碳酸钙D3片	35.0	180	15	0	0.3	维生素类
DRG20240504220000000	厄贝沙坦片	28.0	200	15	0	0.75	心血管
DRG20240505000000000	非那雄胺片	55.0	90	8	0	0.65	泌尿系统
DRG20240505020000000	坦索罗辛胶囊	42.0	100	8	0	0.7	泌尿系统
DRG20240505040000000	美托洛尔缓释片	32.0	160	12	0	0.75	心血管
DRG20240505060000000	瑞舒伐他汀钙片	52.0	120	10	0	0.75	心血管
DRG20240505080000000	埃索美拉唑镁肠溶片	58.0	80	8	0	0.65	消化系统
DRG20240505100000000	氟西汀胶囊	68.0	60	5	1	0.5	精神科
DRG20240505120000000	阿普唑仑片	15.0	150	12	1	0.4	精神科
DRG20240505140000000	氨溴索口服液	22.0	200	15	0	0.6	呼吸系统
DRG20240505160000000	复方甘草口服液	10.0	280	22	0	0.45	呼吸系统
DRG20240505180000000	沙丁胺醇吸入剂	28.0	130	10	0	0.7	呼吸系统
DRG20240505200000000	布地奈德吸入剂	85.0	70	5	1	0.65	呼吸系统
DRG20240505220000000	氯霉素滴眼液	8.0	300	25	0	0.4	眼科
DRG20240506000000000	维生素AD滴剂	18.0	200	15	0	0.3	维生素类
DRG20240506020000000	钙尔奇D咀嚼片	45.0	150	12	0	0.25	维生素类
DRG20240506040000000	消旋山莨菪碱片	5.0	350	30	0	0.6	消化系统
DRG20240506060000000	复方氨酚烷胺片	14.0	300	25	0	0.5	解热镇痛
DRG20240506080000000	维C银翘片	9.0	350	30	0	0.45	解表剂
