# schedule_id	doctor_id	work_date	time_slot	max_appt	max_onsite	status
SCH2026050706111100	A0006	2026-05-07	上午(08:00-12:00	20	10	正常
SCH2026050623183400	A0006	2026-05-06	上午(08:00-12:0	20	10	正常
SCH2026050508000000	A0001	2026-05-05	上午(08:00-12:0	16	9	正常
SCH2026050514000000	A0001	2026-05-05	下午(14:00-18:0	22	5	正常
SCH2026050608000000	A0001	2026-05-06	上午(08:00-12:0	25	10	正常
SCH2026050614000000	A0001	2026-05-06	下午(14:00-18:0	23	9	正常
SCH2026050708000000	A0001	2026-05-07	上午(08:00-12:0	19	5	正常
SCH2026050714000000	A0001	2026-05-07	下午(14:00-18:0	19	10	正常
SCH2026050808000000	A0001	2026-05-08	上午(08:00-12:0	16	5	正常
SCH2026050814000000	A0001	2026-05-08	下午(14:00-18:0	17	6	正常
SCH2026050908000000	A0001	2026-05-09	上午(08:00-12:0	10	8	正常
SCH2026050914000000	A0001	2026-05-09	下午(14:00-18:0	10	5	正常
SCH2026051008000000	A0001	2026-05-10	上午(08:00-12:0	23	9	正常
SCH2026051014000000	A0001	2026-05-10	下午(14:00-18:0	23	7	正常
SCH2026051108000000	A0001	2026-05-11	上午(08:00-12:0	11	6	停诊
SCH2026051114000000	A0001	2026-05-11	下午(14:00-18:0	19	5	正常
SCH2026050508000000	A0002	2026-05-05	上午(08:00-12:0	22	7	停诊
SCH2026050514000000	A0002	2026-05-05	下午(14:00-18:0	12	5	正常
SCH2026050608000000	A0002	2026-05-06	上午(08:00-12:0	19	10	正常
SCH2026050614000000	A0002	2026-05-06	下午(14:00-18:0	11	8	正常
SCH2026050708000000	A0002	2026-05-07	上午(08:00-12:0	22	10	正常
SCH2026050714000000	A0002	2026-05-07	下午(14:00-18:0	24	7	正常
SCH2026050808000000	A0002	2026-05-08	上午(08:00-12:0	23	10	正常
SCH2026050814000000	A0002	2026-05-08	下午(14:00-18:0	13	7	正常
SCH2026050908000000	A0002	2026-05-09	上午(08:00-12:0	11	8	正常
SCH2026050914000000	A0002	2026-05-09	下午(14:00-18:0	14	7	正常
SCH2026051008000000	A0002	2026-05-10	上午(08:00-12:0	13	9	正常
SCH2026051014000000	A0002	2026-05-10	下午(14:00-18:0	14	8	正常
SCH2026051108000000	A0002	2026-05-11	上午(08:00-12:0	22	5	正常
SCH2026051114000000	A0002	2026-05-11	下午(14:00-18:0	12	10	正常
SCH2026050508000000	A0003	2026-05-05	上午(08:00-12:0	23	5	正常
SCH2026050514000000	A0003	2026-05-05	下午(14:00-18:0	22	6	正常
SCH2026050608000000	A0003	2026-05-06	上午(08:00-12:0	25	9	正常
SCH2026050614000000	A0003	2026-05-06	下午(14:00-18:0	21	6	正常
SCH2026050708000000	A0003	2026-05-07	上午(08:00-12:0	18	7	正常
SCH2026050714000000	A0003	2026-05-07	下午(14:00-18:0	10	5	正常
SCH2026050808000000	A0003	2026-05-08	上午(08:00-12:0	17	10	正常
SCH2026050814000000	A0003	2026-05-08	下午(14:00-18:0	19	8	正常
SCH2026050908000000	A0003	2026-05-09	上午(08:00-12:0	25	9	正常
SCH2026050914000000	A0003	2026-05-09	下午(14:00-18:0	24	5	正常
SCH2026051008000000	A0003	2026-05-10	上午(08:00-12:0	15	6	正常
SCH2026051014000000	A0003	2026-05-10	下午(14:00-18:0	16	9	正常
SCH2026051108000000	A0003	2026-05-11	上午(08:00-12:0	13	6	正常
SCH2026051114000000	A0003	2026-05-11	下午(14:00-18:0	17	7	正常
SCH2026050508000000	A0004	2026-05-05	上午(08:00-12:0	21	9	正常
SCH2026050514000000	A0004	2026-05-05	下午(14:00-18:0	13	9	正常
SCH2026050608000000	A0004	2026-05-06	上午(08:00-12:0	16	8	正常
SCH2026050614000000	A0004	2026-05-06	下午(14:00-18:0	18	10	正常
SCH2026050708000000	A0004	2026-05-07	上午(08:00-12:0	19	10	正常
SCH2026050714000000	A0004	2026-05-07	下午(14:00-18:0	16	6	正常
SCH2026050808000000	A0004	2026-05-08	上午(08:00-12:0	19	9	正常
SCH2026050814000000	A0004	2026-05-08	下午(14:00-18:0	10	9	正常
SCH2026050908000000	A0004	2026-05-09	上午(08:00-12:0	17	10	正常
SCH2026050914000000	A0004	2026-05-09	下午(14:00-18:0	23	5	正常
SCH2026051008000000	A0004	2026-05-10	上午(08:00-12:0	25	7	停诊
SCH2026051014000000	A0004	2026-05-10	下午(14:00-18:0	13	9	正常
SCH2026051108000000	A0004	2026-05-11	上午(08:00-12:0	15	10	正常
SCH2026051114000000	A0004	2026-05-11	下午(14:00-18:0	22	6	正常
SCH2026050508000000	A0005	2026-05-05	上午(08:00-12:0	24	10	正常
SCH2026050514000000	A0005	2026-05-05	下午(14:00-18:0	13	7	正常
SCH2026050608000000	A0005	2026-05-06	上午(08:00-12:0	12	9	正常
