# ward_id	type	total_beds	remain_beds	warning_line	price_per_day
WRD2023100110000000	ICU	3	0	1	0.00
WRD2023100111000000	VIP病房	8	6	1	0.00
WRD2023100112000000	骨科病房	3	0	1	0.00
WRD2023100113000000	术后恢复室	3	3	1	0.00
WRD2023100114000000	急诊留观室	9	2	1	0.00
WRD2023100115000000	妇产科病房	7	5	1	0.00
WRD2023100116000000	妇产科病房	4	2	1	0.00
WRD2023100117000000	儿科病房	5	3	1	0.00
WRD2023100118000000	骨科病房	5	3	1	0.00
WRD2023100119000000	心血管病房	11	9	2	0.00
WRD2023100120000000	肿瘤科病房	12	11	2	0.00
WRD2023100121000000	VIP病房	10	6	2	0.00
WRD2023100122000000	妇产科病房	7	2	1	0.00
WRD2023100123000000	隔离病房	7	6	1	0.00
WRD2023100200000000	ICU	3	0	1	0.00
WRD2023100201000000	ICU	8	2	1	0.00
WRD2023100202000000	儿科病房	5	4	1	0.00
WRD2023100203000000	外科病房	7	3	1	0.00
WRD2023100204000000	VIP病房	12	8	2	0.00
WRD2023100205000000	ICU	11	9	2	0.00
WRD2023100206000000	术后恢复室	9	2	1	0.00
WRD2023100207000000	妇产科病房	10	1	2	0.00
WRD2023100208000000	肿瘤科病房	3	1	1	0.00
WRD2023100209000000	VIP病房	10	2	2	0.00
WRD2023100210000000	外科病房	5	1	1	0.00
WRD2023100211000000	神经科病房	11	4	2	0.00
WRD2023100212000000	骨科病房	3	3	1	0.00
WRD2023100213000000	儿科病房	4	3	1	0.00
WRD2023100214000000	神经科病房	6	2	1	0.00
WRD2023100215000000	肿瘤科病房	5	1	1	0.00
WRD2023100216000000	神经科病房	9	1	1	0.00
WRD2023100217000000	内科病房	5	0	1	0.00
WRD2023100218000000	肿瘤科病房	12	7	2	0.00
WRD2023100219000000	外科病房	10	3	2	0.00
WRD2023100220000000	妇产科病房	11	3	2	0.00
WRD2023100221000000	综合病房	11	1	2	0.00
WRD2023100222000000	综合病房	4	2	1	0.00
WRD2023100223000000	急诊留观室	4	4	1	0.00
WRD2023100300000000	急诊留观室	10	5	2	0.00
WRD2023100301000000	内科病房	11	8	2	0.00
WRD2023100302000000	心血管病房	8	1	1	0.00
WRD2023100303000000	急诊留观室	12	6	2	0.00
WRD2023100304000000	术后恢复室	4	3	1	0.00
WRD2023100305000000	隔离病房	5	4	1	0.00
WRD2023100306000000	妇产科病房	9	2	1	0.00
WRD2023100307000000	外科病房	11	7	2	0.00
WRD2023100308000000	儿科病房	3	3	1	0.00
WRD2023100309000000	内科病房	10	5	2	0.00
WRD2023100310000000	内科病房	10	5	2	0.00
WRD2023100311000000	神经科病房	3	1	1	0.00
WRD2023100312000000	心血管病房	8	3	1	0.00
WRD2023100313000000	肿瘤科病房	11	11	2	0.00
WRD2023100314000000	VIP病房	6	4	1	0.00
WRD2023100315000000	VIP病房	9	0	1	0.00
WRD2023100316000000	综合病房	9	1	1	0.00
WRD2023100317000000	急诊留观室	4	2	1	0.00
WRD2023100318000000	内科病房	12	9	2	0.00
WRD2023100319000000	外科病房	6	6	1	0.00
WRD2023100320000000	术后恢复室	8	1	1	0.00
WRD2023100321000000	外科病房	3	3	1	0.00
WRD2023100322000000	术后恢复室	8	8	1	0.00
WRD2023100323000000	术后恢复室	10	2	2	0.00
WRD2023100400000000	骨科病房	9	5	1	0.00
WRD2023100401000000	神经科病房	3	0	1	0.00
WRD2023100402000000	急诊留观室	3	0	1	0.00
WRD2023100403000000	外科病房	11	2	2	0.00
WRD2023100404000000	妇产科病房	3	2	1	0.00
WRD2023100405000000	骨科病房	10	8	2	0.00
WRD2023100406000000	内科病房	6	5	1	0.00
WRD2023100407000000	妇产科病房	3	1	1	0.00
WRD2023100408000000	心血管病房	8	7	1	0.00
WRD2023100409000000	观察病房	9	4	1	0.00
WRD2023100410000000	急诊留观室	4	1	1	0.00
WRD2023100411000000	综合病房	7	5	1	0.00
WRD2023100412000000	观察病房	11	2	2	0.00
WRD2023100413000000	肿瘤科病房	12	4	2	0.00
WRD2023100414000000	综合病房	11	8	2	0.00
WRD2023100415000000	综合病房	6	2	1	0.00
WRD2023100416000000	肿瘤科病房	11	6	2	0.00
WRD2023100417000000	儿科病房	4	1	1	0.00
WRD2023100418000000	内科病房	4	4	1	0.00
WRD2023100419000000	妇产科病房	9	7	1	0.00
WRD2023100420000000	术后恢复室	9	2	1	0.00
WRD2023100421000000	儿科病房	6	5	1	0.00
WRD2023100422000000	综合病房	7	5	1	0.00
WRD2023100423000000	儿科病房	10	0	2	0.00
WRD2023100500000000	观察病房	11	7	2	0.00
WRD2023100501000000	骨科病房	10	2	2	0.00
WRD2023100502000000	内科病房	12	11	2	0.00
WRD2023100503000000	急诊留观室	6	6	1	0.00
WRD2023100504000000	ICU	5	4	1	0.00
WRD2023100505000000	术后恢复室	10	3	2	0.00
WRD2023100506000000	内科病房	6	2	1	0.00
WRD2023100507000000	儿科病房	12	7	2	0.00
WRD2023100508000000	VIP病房	9	2	1	0.00
WRD2023100509000000	内科病房	12	2	2	0.00
WRD2023100510000000	术后恢复室	7	1	1	0.00
WRD2023100511000000	术后恢复室	12	0	2	0.00
WRD2023100512000000	儿科病房	5	5	1	0.00
WRD2023100513000000	术后恢复室	4	3	1	0.00
